POP	affliction	?
ROLFE	affliction	m
TWOMBLEY	affliction	m
WADE	affliction	m
ALICE	air force one	f
CERALLOS	air force one	?
CHIEF MECHANIC	air force one	m
COL. CARLTON	air force one	m
DEAN	air force one	m
DOHERTY	air force one  f  `
GENERAL NORTHWOOD	air force one	m
GIBBS	air force one	m
IRAQI SOLDIER	air force one	m
KC-135 PILOT	air force one	m
KC-LO PILOT	air force one	m
KORSHUNOV	air force one	m
LEE	air force one	m
MAJOR CALDWELL	air force one	m
MARSHALL	air force one	m
MITCHELL	air force one	f
ROSE	air force one	f
SECRET SERVICE AGENT	air force one	m
SECRETARY	air force one	f
SHEPHERD	air force one	m
SWITCHBOARD	air force one	f
TOWER	air force one	?
V.P. CHANDLER	air force one	?
COMMISSIONER	airplane ii: the sequel	m
DUNN	airplane ii: the sequel	m
ELAINE	airplane ii: the sequel	f
JIMMY	airplane ii: the sequel	f
JOE	airplane ii: the sequel	m
JOHN	airplane ii: the sequel	m
KRUGER	airplane ii: the sequel	m
MARY	airplane ii: the sequel	f
OVEUR	airplane ii: the sequel	m
PORTER	airplane ii: the sequel	m
RECEPTIONIST	airplane ii: the sequel	?
ROK	airplane ii: the sequel	?
RUMACK	airplane ii: the sequel	m
SIMON	airplane ii: the sequel	m
STELLA	airplane ii: the sequel	f
TED	airplane ii: the sequel	m
WIFE	airplane ii: the sequel	f
BERNICE	airplane!	?
CAREY	airplane!	f
DR. RUMACK	airplane!	m
ELAINE	airplane!	f
GIRL	airplane!	f
GUNDERSON	airplane!	m
JACK	airplane!	m
JOEY	airplane!	m
KRAMER	airplane!	m
LISA	airplane!	f
MILTON	airplane!	?
MRS. HAMMEN	airplane!	f
MRS. KRAMER	airplane!	f
MURDOCK	airplane!	m
OVEUR	airplane!	m
RANDY	airplane!	f
SHIRLEY	airplane!	f
SISTER ANGELINA	airplane!	f
SOLDIER	airplane!	?
STRIKER	airplane!	m
CASSANDRA	alien nation	f
FEDORCHUK	alien nation	m
HARCOURT	alien nation	m
JETSON	alien nation	m
KIPLING	alien nation	m
MAFFET	alien nation	?
O'NEAL	alien nation	m
OPERATOR	alien nation	f
PORTER	alien nation	m
SYKES	alien nation	m
TUGGLE	alien nation	m
WARNER	alien nation	m
WINTER	alien nation	m
APONE	aliens	m
BISHOP	aliens	m
BURKE	aliens	m
GORMAN	aliens	m
HICKS	aliens	m
HUDSON	aliens	m
LYDECKER	aliens	m
MED-TECH	aliens	?
NEWT	aliens	f
RIPLEY	aliens	f
SIMPSON	aliens	m
VAN LEUWEN	aliens	m
VASQUEZ	aliens	f
ALLEGRO	amadeus	?
ANDANTE	amadeus	?
ARCO	amadeus	m
CAVALIERI	amadeus	f
COLLOREDO	amadeus	m
COMMENDATORE	amadeus	m
CONSTANZE	amadeus	f
FIRST LADY	amadeus	f
FLUNKY	amadeus	?
FRAU SCHLUMBERG	amadeus	f
JOSEPH	amadeus	m
LEOPOLD	amadeus	m
LORL	amadeus	f
MADAME WEBER	amadeus	f
MOZART	amadeus	m
OFFICER	amadeus	?
OLD SALIERI	amadeus	m
ORSINI-ROSENBERG	amadeus	f
PAPAGENO	amadeus	m
SALIERI	amadeus	m
SCHIKANEDER	amadeus	m
SCHLUMBERG	amadeus	m
SECOND LADY	amadeus	f
SERVANT	amadeus	m
UGLY OLD WOMAN	amadeus	f
VOGLER	amadeus	m
VON STRACK	amadeus	m
VON SWIETEN	amadeus	?
ALEX	an american werewolf in london	f
BENJAMIN	an american werewolf in london	m
BOBBIE	an american werewolf in london	m
BRINGSLY	an american werewolf in london	?
CHESS PLAYER	an american werewolf in london	m
DAVID	an american werewolf in london	m
DR. HIRSCH	an american werewolf in london	m
JACK	an american werewolf in london	m
LT. VILLIERS	an american werewolf in london	m
MISS GALLAGHER	an american werewolf in london	f
MRS. HOBBS	an american werewolf in london	f
ORDERLY	an american werewolf in london	?
SECRETARY	an american werewolf in london	f
SGT. MCMANUS	an american werewolf in london	m
WOMAN	an american werewolf in london	f
BILL	american madness	m
CHARLIE	american madness	m
CLARK	american madness	m
CLUETT	american madness	m
DICKSON	american madness	m
DUDE	american madness	m
GARDINER	american madness	?
GUARD	american madness	?
HELEN	american madness	f
HELEN'S VOICE	american madness	?
INSPECTOR	american madness	m
JANITOR	american madness	?
LADY	american madness	f
MATT	american madness	m
MIKE	american madness	m
MRS. DICKSON	american madness	f
MRS. HALLIGAN	american madness	f
MRS. PEMBROKE	american madness	f
O'BRIEN	american madness	m
OSCAR	american madness	m
SAMPSON	american madness	m
TELLER	american madness	?
BOB	american outlaws	m
BURLY DETECTIVE	american outlaws	m
COLE	american outlaws	m
COMANCHE TOM	american outlaws	m
DEPUTY	american outlaws	m
DOC MIMMS	american outlaws	f
FRANK	american outlaws	m
JESSE	american outlaws	m
JIM	american outlaws	m
JIMMY	american outlaws	?
LYLA	american outlaws	f
MA	american outlaws	f
MARSHALL	american outlaws	?
OLD MAN	american outlaws	m
PARKER	american outlaws	m
PASTOR	american outlaws	m
PINKERTON	american outlaws	m
RAINS	american outlaws	m
SHERRIFF	american outlaws	m
TELLER	american outlaws	m
ZEE	american outlaws	f
BATEMAN	american psycho	m
CARNES	american psycho	m
CARRUTHERS	american psycho	m
CHRISTIE	american psycho	f
COURTNEY	american psycho	f
DAISY	american psycho	f
ELIZABETH	american psycho	f
EVELYN	american psycho	f
HOMELESS MAN	american psycho	m
JEAN	american psycho	f
KIMBALL	american psycho	m
MAITRE D'	american psycho	f
MRS. WOLFE	american psycho	f
OWEN	american psycho	m
PRICE	american psycho	?
VAN PATTEN	american psycho	m
VICTORIA	american psycho	f
ALICE	antitrust	f
BARTON	antitrust	m
BRIAN	antitrust	m
CYBER PUNDIT	antitrust	?
DANNY	antitrust	m
GARY	antitrust	m
LARRY	antitrust	m
LARRY KING	antitrust	m
LEN	antitrust	?
LISA	antitrust	f
MILO	antitrust	m
PHIL	antitrust	m
RANDY	antitrust	m
REDMOND	antitrust	m
SHROT	antitrust	m
TEDDY	antitrust	m
ALOTTA	austin powers: international man of mystery	f
ANDY WARHOL	austin powers: international man of mystery	?
AUSTIN	austin powers: international man of mystery	m
BASIL EXPOSITION	austin powers: international man of mystery	m
CLERK	austin powers: international man of mystery	m
COMMANDER GILMOUR	austin powers: international man of mystery	m
DESTRUCTACON	austin powers: international man of mystery	?
DR. EVIL	austin powers: international man of mystery	m
FRAU FARBISSINA	austin powers: international man of mystery	f
GUARD	austin powers: international man of mystery	m
MICK JAGGER	austin powers: international man of mystery	?
MRS. KENSINGTON	austin powers: international man of mystery	f
MUSTAFA	austin powers: international man of mystery	m
NUMBER TWO	austin powers: international man of mystery	m
RADAR OPERATOR	austin powers: international man of mystery	m
SCOTT EVIL	austin powers: international man of mystery	m
THERAPIST	austin powers: international man of mystery	f
VANESSA	austin powers: international man of mystery	f
BAILEY	the avengers	?
DR. DARLING	the avengers	?
EMMA	the avengers	f
FATHER	the avengers	m
INVISIBLE JONES	the avengers	m
MOTHER	the avengers	m
OLD LADY	the avengers	f
PORTER	the avengers	?
SIR AUGUST	the avengers	?
STEED	the avengers	m
VALENTINE	the avengers	f
VOICE	the avengers	?
BOBBIE	bachelor party	?
CHULO	bachelor party	?
COLE	bachelor party	m
DEBBIE	bachelor party	f
EXECUTIVE	bachelor party	?
GARY	bachelor party	m
ILENE	bachelor party	f
JUMBO	bachelor party	?
LARRY	bachelor party	?
MANAGER	bachelor party	m
MR. T	bachelor party	m
MR. THOMERSON	bachelor party	m
MRS. THOMERSON	bachelor party	f
O'NEILL	bachelor party	m
PHOEBE	bachelor party	f
RAJAH	bachelor party	m
RICK	bachelor party	m
RYKO	bachelor party	m
SISTER MARY FRANCIS	bachelor party	f
STAN	bachelor party	m
WOMAN	bachelor party	f
AXE	backdraft	?
BRIAN	backdraft	m
CHIEF FITZGERALD	backdraft	m
DENNIS	backdraft	m
GRINDLE	backdraft	m
HELEN	backdraft	f
JENNIFER	backdraft	f
RICCO	backdraft	m
RONALD	backdraft	m
SHADOW	backdraft	m
STEPHEN	backdraft	m
SWAYZAK	backdraft	m
TIM	backdraft	m
WILLY	backdraft	m
ARIANE	bad lieutenant	f
ELDERLY BLACK WOMAN	bad lieutenant	f
FENCE	bad lieutenant	?
JC	bad lieutenant	m
JESUS	bad lieutenant	m
LARGE	bad lieutenant	m
LITE	bad lieutenant	m
LT	bad lieutenant	m
NUN	bad lieutenant	f
PRIEST	bad lieutenant	m
1/16TH BLACK	bamboozled	?
AUDIENCE	bamboozled	?
BIG BLACK	bamboozled	m
CHEEBA	bamboozled	?
DELACROIX	bamboozled	m
DOT	bamboozled	f
DUNWITTY	bamboozled	m
GARY BYRD	bamboozled	m
HONEYCUTT	bamboozled	m
JUKKA	bamboozled	m
JUNEBUG	bamboozled	m
MANRAY	bamboozled	m
MANTAN	bamboozled	m
MONA	bamboozled	f
MYRNA	bamboozled	f
ORCHID	bamboozled	f
SLEEP 'N EAT	bamboozled	m
SLOAN	bamboozled	f
TAVIS SMILEY	bamboozled	?
ARMED GENTLEMAN	barry lyndon	m
CAPTAIN BEST	barry lyndon	?
CAPTAIN GALGENSTEIN	barry lyndon	m
CAPTAIN GROGAN	barry lyndon	m
CAPTAIN O'REILLY	barry lyndon	?
CHEVALIER	barry lyndon	m
COUNT	barry lyndon	?
COUNTESS	barry lyndon	f
DOROTHY	barry lyndon	f
HARRY	barry lyndon	m
HENRI	barry lyndon	m
LORD WEST	barry lyndon	m
MICHAEL	barry lyndon  ?m
MINISTER GALGENSTEIN	barry lyndon	m
MRS. O'REILLY	barry lyndon	f
NEWCOMBE	barry lyndon	?
PATRICK	barry lyndon	m
PRINCE	barry lyndon	m
PRUSSIAN OFFICER	barry lyndon	m
RODERICK	barry lyndon	m
SIR WILLIAM	barry lyndon	m
VALDEZ	barry lyndon	?
BARTENDER	basic	?
CHILDS	basic	?
DUNBAR	basic	m
HARDY	basic	m
KENDALL	basic	m
MUELLER	basic	m
OSBORNE	basic	f
PIKE	basic	m
SERGEANT	basic	?
STYLES	basic	m
THE CADETS	basic	?
WEST	basic	m
AMOS	big fish	m
BEAMEN	big fish	m
DON PRICE	big fish	m
DR. BENNETT	big fish	m
EDWARD	big fish	m
JENNY	big fish	f
JOSEPHINE	big fish	f
KARL	big fish	m
NORTHER WINSLOW	big fish	m
SANDRA	big fish	f
WILL	big fish	m
ALEXEI	birthday girl	m
BRANCH MANAGER	birthday girl	m
JOHN	birthday girl	m
NADIA	birthday girl	f
OFFICIAL	birthday girl	?
YURI	birthday girl	m
ANGELA	black snake moan	f
BOJO	black snake moan	m
BRYAN	black snake moan	m
ELLA MAE	black snake moan	m
GILL	black snake moan	m
JESSE	black snake moan	f
LAZARUS	black snake moan	m
LINCOLN	black snake moan	m
MAYELLA	black snake moan	m
R.L.	black snake moan	m
RAE	black snake moan	f
RONNIE	black snake moan	m
ROSE	black snake moan	f
SANDY	black snake moan	f
TEHRONNE	black snake moan	m
CHARLIE	black rain	m
CONNIE	black rain	?
ICH	black rain	?
JOYCE	black rain	f
KOBO	black rain	?
NICK	black rain	m
OHASHI	black rain	m
OLIVER	black rain	m
SUGAI	black rain	m
BATTY	blade runner	m
BRYANT	blade runner	m
CHEW	blade runner	m
DECKARD	blade runner	m
DECKARD'S VOICE	blade runner	?
ESPER	blade runner	?
GAFF	blade runner	m
HOLDEN	blade runner	m
LEON	blade runner	m
MARY	blade runner	?
PRIS	blade runner	f
RACHAEL	blade runner	f
SALOME	blade runner	?
SEBASTIAN	blade runner	m
TAFFEY	blade runner	f
TYRELL	blade runner	m
VOICE	blade runner	?
WHEELER	blade runner	?
ADAM	blast from the past	m
ARON	blast from the past	m
ATKINSON	blast from the past	m
BELLBOY	blast from the past	m
BUTCHER	blast from the past	m
BYSTANDER #1	blast from the past	m
CALVIN	blast from the past	m
CLERK	blast from the past	m
CLIFF	blast from the past	m
EVE	blast from the past	f
HELEN	blast from the past	f
JERRY	blast from the past	m
LEVY	blast from the past	m
MISS SWEET	blast from the past	f
MOM	blast from the past	f
PILOT	blast from the past	m
POSTAL WORKER	blast from the past	m
SODA JERK	blast from the past	m
STREET WALKER	blast from the past	f
TOWER	blast from the past	?
TROY	blast from the past	m
AUNT BARBARA	blue velvet	?
BEN	blue velvet	m
DETECTIVE WILLIAMS	blue velvet	m
DOROTHY	blue velvet	f
F.B.I. MAN	blue velvet	m
FRANK	blue velvet	m
JEFFREY	blue velvet	m
MIKE	blue velvet	m
MR. BEAUMONT	blue velvet	m
MRS. BEAUMONT	blue velvet	f
MRS. WILLIAMS	blue velvet	f
RAYMOND	blue velvet	m
SANDY	blue velvet	f
YELLOW MAN	blue velvet	m
AUGUSTUS	the boondock saints	m
BOTH	the boondock saints	?
CHAFFEY	the boondock saints	m
CONNOR	the boondock saints	m
DOC	the boondock saints	m
DOLLY	the boondock saints	m
DONNA	the boondock saints	f
DUFFY	the boondock saints	m
GREENLY	the boondock saints	m
MOM	the boondock saints	f
MURPHY	the boondock saints	m
PRIEST	the boondock saints	m
ROCCO	the boondock saints	m
ROZ	the boondock saints	f
SMECKER	the boondock saints	m
VINCENZO	the boondock saints	m
YAKAVETTA	the boondock saints	m
ANTHONY	bottle rocket	m
APPLEJACK	bottle rocket	m
BOB	bottle rocket	m
COP	bottle rocket	m
DIGNAN	bottle rocket	m
EMPLOYEE	bottle rocket	m
FUTURE MAN	bottle rocket	m
INEZ	bottle rocket	f
JACKSON	bottle rocket	m
KUMAR	bottle rocket	m
LITTLE RICHARD	bottle rocket	m
MAN	bottle rocket	m
MR. HENRY	bottle rocket	m
ABBOTT	the bourne supremacy	m
BOURNE	the bourne supremacy	m
CRONIN	the bourne supremacy	m
GRETKOV	the bourne supremacy	m
IRENA	the bourne supremacy	f
IVAN	the bourne supremacy	m
JARDA	the bourne supremacy	m
MARIE	the bourne supremacy	f
MARSHALL	the bourne supremacy	m
NEVINS/PHONE	the bourne supremacy	m
NICKY	the bourne supremacy	f
PAMELA	the bourne supremacy	f
PAMELA/PHONE	the bourne supremacy	f
TEDDY	the bourne supremacy	m
VIC	the bourne supremacy	m
ZORN	the bourne supremacy	m
ARGYLE	braveheart	m
CRAIG	braveheart	m
EDWARD	braveheart	m
HAMISH	braveheart	m
LEADER	braveheart	?
LEPER	braveheart	m
LONGSHANKS	braveheart	m
MAGISTRATE	braveheart	m
MARION	braveheart	f
NICOLETTE	braveheart	f
PRINCESS	braveheart	f
ROBERT	braveheart	m
STEPHEN	braveheart	m
WALLACE	braveheart	m
WILLIAM	braveheart	m
ANDREA	the butterfly effect	f
CARLOS	the butterfly effect	m
DR. REDFIELD	the butterfly effect	m
EVAN	the butterfly effect	m
HEIDI	the butterfly effect	f
HUNTER	the butterfly effect	m
JASON	the butterfly effect	m
KAYLEIGH	the butterfly effect	f
LENNY	the butterfly effect	m
MR. MILLER	the butterfly effect	m
MRS. BOSWELL	the butterfly effect	f
PROFESSOR CARTER	the butterfly effect	m
THUMPER	the butterfly effect	m
TOMMY	the butterfly effect	m
WAITRESS	the butterfly effect	m
ANNINA	casablanca	f
BERGER	casablanca	m
CARL	casablanca	m
EMIL	casablanca	m
EUROPEAN	casablanca	?
FERRARI	casablanca	m
ILSA	casablanca	f
LASZLO	casablanca	m
RENAULT	casablanca	m
RICK	casablanca	m
SAM	casablanca	m
STRASSER	casablanca	m
TOURIST	casablanca	m
UGARTE	casablanca	m
YVONNE	casablanca	m
ALEKSEI	cast away	m
BADCHUCK	cast away	m
BETTINA	cast away	f
CHUCK	cast away	m
CHUCK/CAPTAIN	cast away	m
DOCTOR	cast away	?
DRIVER	cast away	m
ERICA	cast away	?
GOODCHUCK	cast away	m
KELLY	cast away	f
LESLIE	cast away	?
MOM	cast away	f
ROGER	cast away	m
STAN	cast away	m
TECHNICIAN	cast away	?
VOICE	cast away	?
ANGELA	the cider house rules	f
BUSTER	the cider house rules	m
CANDY	the cider house rules	f
CURLY	the cider house rules	?
EDNA	the cider house rules	f
FUZZY	the cider house rules	?
HOMER	the cider house rules	m
JACK	the cider house rules	m
LARCH	the cider house rules	m
MAJOR WINSLOW	the cider house rules	?
MARY AGNES	the cider house rules	f
MR. ROSE	the cider house rules	m
MRS. GOODHALL	the cider house rules	?
MUDDY	the cider house rules	m
OLIVE	the cider house rules	f
PEACHES	the cider house rules	m
RAY	the cider house rules	m
ROSE ROSE	the cider house rules	f
WALLY	the cider house rules	m
ASHBY	confidence	m
BIG AL	confidence	m
BUTCH	confidence	m
GILLETTE	confidence	?
GORDO	confidence	m
JAKE	confidence	m
KING PIN	confidence	m
LILY	confidence	f
LIONEL	confidence	m
LUPUS	confidence	m
MILES	confidence	m
MOONAN	confidence	?
MR. LEWIS	confidence	m
ROTTOVICH	confidence	?
SALESGIRL	confidence	f
SOBOZINSKI	confidence	?
SUITS	confidence	?
BELLA	croupier	f
DEALER	croupier	m
GILES	croupier	m
JACK	croupier	m
JACK SR.	croupier	m
JANI	croupier	f
LUCY	croupier	f
MAN	croupier	m
MARION	croupier	f
MATT	croupier	m
REYNOLDS	croupier	m
ROSS	croupier	m
BOILER	dark star	m
BOMB #19	dark star	?
BOMB #20	dark star	m
DOOLITTLE	dark star	m
PINBACK	dark star	m
POWELL	dark star	m
TALBY	dark star	m
BLONDE	dark angel	f
BRUNO	dark angel	m
DARREN	dark angel	m
HERBAL	dark angel	m
INGA	dark angel	f
KENDRA	dark angel	f
LAUREN	dark angel	?
LOGAN	dark angel	m
LYDIA	dark angel	f
MAX	dark angel	m
NORMAL	dark angel	m
ORIGINAL CINDY	dark angel	f
SKETCHY	dark angel	m
SONRISA	dark angel	m
SOPHY	dark angel	f
THEO	dark angel	m
VOGELSANG	dark angel	m
AMANDA	detroit rock city	f
BARTENDER	detroit rock city	m
BETH	detroit rock city	f
CHRISTINE	detroit rock city	f
HAWK	detroit rock city	m
JAM	detroit rock city	m
KENNY	detroit rock city	m
LEX	detroit rock city	m
LITTLE KID	detroit rock city	m
MAN WITH COAT	detroit rock city	m
MRS. BRUCE	detroit rock city	f
PRIEST	detroit rock city	m
SCALPER	detroit rock city	m
SIMPLE SIMON'S VOICE	detroit rock city	f
TRIP	detroit rock city	m
TRIP'S VOICE	detroit rock city	?
AUDIENCE	donnie darko	?
DAVID	donnie darko	m
DONNIE	donnie darko	m
DR. MONNITOFF	donnie darko	m
DR. THURMAN	donnie darko	m
EDDIE	donnie darko	m
ELIZABETH	donnie darko	f
FRANK	donnie darko	m
GRETCHEN	donnie darko	f
JIM CUNNINGHAM	donnie darko	m
LEROY	donnie darko	m
MS. FARMER	donnie darko	f
MS. POMEROY	donnie darko	f
PRINCIPAL COLE	donnie darko	m
RONALD	donnie darko	m
ROSE	donnie darko	f
SAMANTHA	donnie darko	f
SEAN	donnie darko	m
SETH	donnie darko	f
AMBER	drop dead gorgeous	f
ANNETTE	drop dead gorgeous	f
BECKY	drop dead gorgeous	f
BRETT	drop dead gorgeous	m
COLLEEN	drop dead gorgeous	f
DOCUMENTARIAN	drop dead gorgeous	m
FRY GIRL #1	drop dead gorgeous	?
GLADYS	drop dead gorgeous	f
HANK	drop dead gorgeous	m
HAROLD	drop dead gorgeous	m
IRIS	drop dead gorgeous	f
LESLIE	drop dead gorgeous	f
LESTER	drop dead gorgeous	m
LISA	drop dead gorgeous  ?\f
LORETTA	drop dead gorgeous	f
MR. HOWARD	drop dead gorgeous	m
MR. LARSON	drop dead gorgeous	m
PREGNANT FRY GIRL	drop dead gorgeous	f
TERRY	drop dead gorgeous	f
TINA	drop dead gorgeous	f
ALL	duck soup	?
BOB	duck soup	m
CHICO	duck soup	m
ENSEMBLE	duck soup	?
GROUCHO	duck soup	m
MRS. TEASDALE	duck soup	m
TRENTINO	duck soup	m
VERA	duck soup	f
ANNE	the elephant man	f
BOY	the elephant man	m
BYTES	the elephant man	m
CARR	the elephant man	m
FOX	the elephant man	?
K. HEN	the elephant man	?
KATH	the elephant man	?
KENDAL	the elephant man	f
MERRICK	the elephant man	m
MOTHERSHEAD	the elephant man	f
NIGHT PORTER	the elephant man	?
NORA	the elephant man	?
OWNER	the elephant man	?
PLUMED DWARF	the elephant man	?
TREVES	the elephant man	m
AUD	erik the viking	f
ERIK	erik the viking	m
FREYA	erik the viking	f
GIRL	erik the viking	f
GRANDAD	erik the viking	?
GRANDFATHER	erik the viking	m
HARALD	erik the viking	m
HELGA	erik the viking	f
IVAR	erik the viking	f
KEITEL	erik the viking	m
KING ARNULF	erik the viking	m
LEIF	erik the viking	m
LOKI	erik the viking	m
ODIN	erik the viking	m
SNORRI	erik the viking	m
SVEN	erik the viking	m
SVEN'S DAD	erik the viking	m
THORFINN	erik the viking	m
THORFINN'S MUM	erik the viking	f
CARRIE	eternal sunshine of the spotless mind	f
CLEMENTINE	eternal sunshine of the spotless mind	f
CLEMENTINE'S VOICE	eternal sunshine of the spotless mind	?
JOEL	eternal sunshine of the spotless mind	m
MARY	eternal sunshine of the spotless mind	f
MIERZWIAK	eternal sunshine of the spotless mind	m
NAOMI	eternal sunshine of the spotless mind	f
NAOMI'S VOICE	eternal sunshine of the spotless mind	?
OLD WOMAN	eternal sunshine of the spotless mind	f
PATRICK	eternal sunshine of the spotless mind	m
RECEPTIONIST	eternal sunshine of the spotless mind	?
STAN	eternal sunshine of the spotless mind	m
STAN'S VOICE	eternal sunshine of the spotless mind	?
VOICE-OVER	eternal sunshine of the spotless mind	?
CHINK	even cowgirls get the blues	m
HOWARD	even cowgirls get the blues	m
JELLY	even cowgirls get the blues	f
JULIAN	even cowgirls get the blues	m
MAN	even cowgirls get the blues	m
SISSY	even cowgirls get the blues	f
THE COUNTESS	even cowgirls get the blues	m
COOPER	event horizon	m
DJ	event horizon	m
HOLLIS	event horizon	?
JUSTIN	event horizon	m
LYLE	event horizon	?
MILLER	event horizon	m
PETERS	event horizon	f
SMITH	event horizon	m
STARCK	event horizon	f
WEIR	event horizon	m
ALICIA	fantastic four	f
BEN	fantastic four	m
DEBBIE	fantastic four	f
DOCTOR	fantastic four	m
JOHNNY	fantastic four	m
LEONARD	fantastic four	?
REED	fantastic four	m
SEXY NURSE	fantastic four	f
SUE	fantastic four	f
THE THING	fantastic four	?
VICTOR	fantastic four	m
ARNOLD	fast times at ridgemont high	m
BRAD	fast times at ridgemont high	m
BUSINESSMAN	fast times at ridgemont high	m
CURTIS	fast times at ridgemont high	m
DAMONE	fast times at ridgemont high	m
DENNIS	fast times at ridgemont high	m
GIRL	fast times at ridgemont high	f
GRIFFIN	fast times at ridgemont high	?
HAROLD	fast times at ridgemont high	?
L.C.	fast times at ridgemont high	?
LINDA	fast times at ridgemont high	f
LISA	fast times at ridgemont high	f
MR. HAND	fast times at ridgemont high	m
RON	fast times at ridgemont high	m
SPICOLI	fast times at ridgemont high	m
STACY	fast times at ridgemont high	f
THE RAT	fast times at ridgemont high	m
WAITRESS	fast times at ridgemont high	f
CLERK	fear and loathing in las vegas	f
